,course_id,certificate type,rating,reviews,coursera plus,difficulty
0,1,Beginner,4.8,43000,True,Professional Certificate
1,2,Beginner,4.8,159000,True,Professional Certificate
2,3,Beginner,4.8,119000,True,Professional Certificate
3,4,Beginner,4.8,34000,True,Professional Certificate
4,5,Beginner,4.8,196000,True,Professional Certificate
5,6,Beginner,4.8,86000,True,Professional Certificate
6,7,Beginner,4.9,29000,True,Specialization
7,8,Beginner,4.7,7800,True,Course
8,9,Beginner,4.6,136000,True,Professional Certificate
9,10,Intermediate,4.8,145000,True,Specialization
10,11,Beginner,4.6,86000,True,Professional Certificate
11,12,Beginner,4.6,77000,True,Professional Certificate
12,13,Beginner,4.8,43000,True,Professional Certificate
13,14,Beginner,4.8,159000,True,Professional Certificate
14,15,Beginner,4.8,119000,True,Professional Certificate
15,16,Beginner,4.8,34000,True,Professional Certificate
16,17,Beginner,4.8,196000,True,Professional Certificate
17,18,Beginner,4.8,86000,True,Professional Certificate
18,19,Beginner,4.9,29000,True,Specialization
19,20,Beginner,4.7,7800,True,Course
20,21,Beginner,4.6,136000,True,Professional Certificate
21,22,Intermediate,4.8,145000,True,Specialization
22,23,Beginner,4.6,86000,True,Professional Certificate
23,24,Beginner,4.6,77000,True,Professional Certificate
24,25,Beginner,4.8,43000,True,Professional Certificate
25,26,Beginner,4.8,159000,True,Professional Certificate
26,27,Beginner,4.8,119000,True,Professional Certificate
27,28,Beginner,4.8,34000,True,Professional Certificate
28,29,Beginner,4.8,196000,True,Professional Certificate
29,30,Beginner,4.8,86000,True,Professional Certificate
30,31,Beginner,4.9,29000,True,Specialization
31,32,Beginner,4.7,7800,True,Course
32,33,Beginner,4.6,136000,True,Professional Certificate
33,34,Intermediate,4.8,145000,True,Specialization
34,35,Beginner,4.6,86000,True,Professional Certificate
35,36,Beginner,4.6,77000,True,Professional Certificate
36,37,Beginner,4.8,43000,True,Professional Certificate
37,38,Beginner,4.8,159000,True,Professional Certificate
38,39,Beginner,4.8,119000,True,Professional Certificate
39,40,Beginner,4.8,34000,True,Professional Certificate
40,41,Beginner,4.8,196000,True,Professional Certificate
41,42,Beginner,4.8,86000,True,Professional Certificate
42,43,Beginner,4.9,29000,True,Specialization
43,44,Beginner,4.7,7800,True,Course
44,45,Beginner,4.6,136000,True,Professional Certificate
45,46,Intermediate,4.8,145000,True,Specialization
46,47,Beginner,4.6,86000,True,Professional Certificate
47,48,Beginner,4.6,77000,True,Professional Certificate
48,49,Beginner,4.8,43000,True,Professional Certificate
49,50,Beginner,4.8,159000,True,Professional Certificate
50,51,Beginner,4.8,119000,True,Professional Certificate
51,52,Beginner,4.8,34000,True,Professional Certificate
52,53,Beginner,4.8,196000,True,Professional Certificate
53,54,Beginner,4.8,86000,True,Professional Certificate
54,55,Beginner,4.9,29000,True,Specialization
55,56,Beginner,4.7,7800,True,Course
56,57,Beginner,4.6,136000,True,Professional Certificate
57,58,Intermediate,4.8,145000,True,Specialization
58,59,Beginner,4.6,86000,True,Professional Certificate
59,60,Beginner,4.6,77000,True,Professional Certificate
60,61,Beginner,4.8,43000,True,Professional Certificate
61,62,Beginner,4.8,159000,True,Professional Certificate
62,63,Beginner,4.8,119000,True,Professional Certificate
63,64,Beginner,4.8,34000,True,Professional Certificate
64,65,Beginner,4.8,196000,True,Professional Certificate
65,66,Beginner,4.8,86000,True,Professional Certificate
66,67,Beginner,4.9,29000,True,Specialization
67,68,Beginner,4.7,7800,True,Course
68,69,Beginner,4.6,136000,True,Professional Certificate
69,70,Intermediate,4.8,145000,True,Specialization
70,71,Beginner,4.6,86000,True,Professional Certificate
71,72,Beginner,4.6,77000,True,Professional Certificate
72,73,Beginner,4.8,43000,True,Professional Certificate
73,74,Beginner,4.8,159000,True,Professional Certificate
74,75,Beginner,4.8,119000,True,Professional Certificate
75,76,Beginner,4.8,34000,True,Professional Certificate
76,77,Beginner,4.8,196000,True,Professional Certificate
77,78,Beginner,4.8,86000,True,Professional Certificate
78,79,Beginner,4.9,29000,True,Specialization
79,80,Beginner,4.7,7800,True,Course
80,81,Beginner,4.6,136000,True,Professional Certificate
81,82,Intermediate,4.8,145000,True,Specialization
82,83,Beginner,4.6,86000,True,Professional Certificate
83,84,Beginner,4.6,77000,True,Professional Certificate
84,85,Beginner,4.8,43000,True,Professional Certificate
85,86,Beginner,4.8,159000,True,Professional Certificate
86,87,Beginner,4.8,119000,True,Professional Certificate
87,88,Beginner,4.8,34000,True,Professional Certificate
88,89,Beginner,4.8,196000,True,Professional Certificate
89,90,Beginner,4.8,86000,True,Professional Certificate
90,91,Beginner,4.9,29000,True,Specialization
91,92,Beginner,4.7,7800,True,Course
92,93,Beginner,4.6,136000,True,Professional Certificate
93,94,Intermediate,4.8,145000,True,Specialization
94,95,Beginner,4.6,86000,True,Professional Certificate
95,96,Beginner,4.6,77000,True,Professional Certificate
96,97,Beginner,4.8,43000,True,Professional Certificate
97,98,Beginner,4.8,159000,True,Professional Certificate
98,99,Beginner,4.8,119000,True,Professional Certificate
99,100,Beginner,4.8,34000,True,Professional Certificate
