course_id,certificate type,rating,reviews,coursera plus,towards degree,difficulty
112,Professional Certificate,4.6,25000,False,True,Beginner
113,Professional Certificate,4.7,2300,False,True,Advanced
114,Professional Certificate,4.8,1900,False,False,Beginner
115,Specialization,4.6,9500,False,False,Beginner
116,Specialization,4.7,4500,False,False,Beginner
117,Specialization,4.6,22000,False,False,Beginner
118,Course,4.9,6900,False,False,Beginner
119,Specialization,4.7,11000,False,False,Beginner
120,Course,4.8,5400,False,False,Beginner
121,Course,4.5,207,False,False,Mixed
122,Professional Certificate,4.6,580,False,False,Beginner
123,Professional Certificate,4.7,5400,False,False,Beginner
124,Professional Certificate,4.6,6600,False,False,Beginner
125,Specialization,4.8,4300,False,False,Beginner
126,Specialization,4.5,145,False,False,Intermediate
127,Specialization,4.6,9200,False,False,Beginner
128,Course,4.9,122000,False,False,Intermediate
129,Course,4.7,50000,False,False,Beginner
130,Specialization,4.6,11000,False,False,Beginner
131,Professional Certificate,4.8,4100,False,False,Beginner
132,Professional Certificate,4.7,6400,False,True,Intermediate
133,Specialization,4.7,20000,False,False,Beginner
134,Course,4.8,21000,False,False,Beginner
135,Specialization,4.7,9400,False,False,Beginner
136,Specialization,4.7,1200,False,False,Beginner
137,Specialization,4.9,19000,False,False,Beginner
138,Specialization,4.8,2400,False,False,Intermediate
139,Course,4.9,30000,False,False,Beginner
140,Specialization,4.7,23000,False,False,Beginner
141,Course,4.8,13000,False,False,Beginner
142,Course,4.6,3700,False,False,Beginner
143,Course,4.8,6400,False,False,Beginner
144,Specialization,4.9,61000,False,False,Beginner
145,Professional Certificate,4.7,606,False,False,Beginner
146,Specialization,4.8,848,False,False,Beginner
147,Professional Certificate,4.7,601,False,False,Beginner
148,Specialization,4.8,5500,False,False,Beginner
149,Professional Certificate,4.7,3300,False,False,Beginner
150,Specialization,4.5,1800,False,False,Beginner
151,Professional Certificate,4.7,246,False,False,Beginner
152,Course,4.8,4700,False,False,Beginner
153,Specialization,4.7,27000,False,False,Beginner
154,Professional Certificate,4.5,3400,False,False,Intermediate
155,Professional Certificate,4.5,7000,False,False,Intermediate
156,Course,4.9,9000,False,False,Beginner
157,Specialization,4.8,1100,False,False,Beginner
158,Professional Certificate,4.7,59000,False,False,Intermediate
159,Professional Certificate,4.7,59000,False,False,Intermediate
160,Course,4.8,17000,False,False,Beginner
161,Course,4.8,13000,False,False,Beginner
162,Course,4.8,16000,False,False,Beginner
163,Specialization,4.7,58000,False,False,Intermediate
164,Professional Certificate,4.6,208,False,False,Beginner
165,Professional Certificate,4.7,49000,False,False,Intermediate
166,Professional Certificate,4.6,2700,False,True,Intermediate
167,Course,4.9,39000,False,False,Mixed
168,Specialization,4.7,9000,False,False,Beginner
169,Specialization,4.7,49000,False,False,Intermediate
170,Specialization,4.7,21000,False,False,Beginner
171,Professional Certificate,4.7,241,False,False,Beginner
172,Specialization,4.8,6100,False,False,Beginner
173,Course,4.8,9000,False,False,Beginner
174,Specialization,4.6,18000,False,False,Beginner
175,Professional Certificate,4.7,54000,False,False,Beginner
176,Specialization,4.8,1100,False,False,Beginner
177,Professional Certificate,4.7,2200,False,False,Beginner
178,Specialization,4.7,15000,False,False,Beginner
179,Course,4.8,1100,False,False,Beginner
180,Specialization,4.6,1900,False,False,Beginner
181,Course,4.9,42,False,False,Beginner
182,Specialization,4.6,2600,False,False,Intermediate
183,Professional Certificate,4.7,1100,False,False,Beginner
184,Course,4.9,4000,False,False,Beginner
185,Specialization,4.6,13000,False,False,Beginner
186,Specialization,4.8,15000,False,False,Beginner
187,Specialization,4.8,5900,False,False,Intermediate
188,Professional Certificate,4.6,107,False,False,Beginner
189,Specialization,4.8,6000,False,False,Beginner
190,Professional Certificate,4.8,6200,False,True,Intermediate
191,Course,4.7,217,False,False,Beginner
192,Specialization,4.6,251,False,False,Beginner
193,Specialization,4.8,5100,False,False,Beginner
194,Professional Certificate,4.7,50000,False,True,Intermediate
195,Professional Certificate,4.7,49000,False,False,Intermediate
196,Course,4.6,11000,False,False,Beginner
197,Professional Certificate,4.6,1700,False,True,Beginner
198,Professional Certificate,4.1,172,False,False,Beginner
199,Specialization,4.8,826,False,False,Beginner
200,Specialization,4.6,15000,False,False,Beginner
201,Course,4.8,3100,False,False,Beginner
202,Course,4.6,1800,False,False,Intermediate
203,Specialization,4.8,1100,False,True,Beginner
204,Professional Certificate,4.8,5900,False,False,Beginner
205,Course,4.8,8500,False,True,Mixed
206,Course,4.7,298,False,False,Beginner
207,Professional Certificate,4.8,6100,False,True,Beginner
208,Specialization,4.8,1400,False,False,Intermediate
209,Specialization,4.7,2300,False,False,Intermediate
210,Specialization,4.7,49000,False,False,Intermediate
211,Course,4.8,10000,False,False,Beginner
212,Course,4.7,28000,False,False,Beginner
213,Specialization,4.5,331,False,False,Intermediate
214,Specialization,4.5,6500,False,False,Intermediate
215,Specialization,4.7,49000,False,False,Intermediate
216,Professional Certificate,4.7,4400,False,False,Beginner
217,Specialization,4.7,49000,False,False,Intermediate
218,Professional Certificate,4.7,731,False,False,Beginner
219,Professional Certificate,4.3,8,False,False,Beginner
220,Course,4.8,3200,False,False,Intermediate
221,Course,4.8,11000,False,False,Beginner
222,Specialization,4.4,1100,False,False,Beginner
223,Specialization,4.6,436,False,False,Intermediate
224,Course,4.8,1600,False,False,Beginner
225,Course,4.6,250,False,False,Beginner
226,Course,4.9,63000,False,False,Intermediate
227,Specialization,4.9,4100,False,False,Beginner
228,Specialization,4.7,2000,False,False,Beginner
229,Professional Certificate,4.4,103,False,False,Beginner
230,Professional Certificate,4.8,2200,False,False,Beginner
231,Specialization,4.8,9500,False,True,Beginner
232,Specialization,4.8,7500,False,False,Beginner
233,Specialization,4.8,5900,False,False,Intermediate
234,Course,4.6,9200,False,False,Beginner
235,Specialization,4.7,3500,False,False,Advanced
236,Course,4.8,20000,False,False,Mixed
237,Specialization,4.8,22000,False,False,Beginner
238,Professional Certificate,4.6,19000,False,False,Intermediate
239,Course,4.6,39000,False,False,Beginner
240,Course,4.7,33000,False,False,Beginner
241,Specialization,4.7,4700,False,False,Beginner
242,Specialization,4.5,9700,False,False,Intermediate
243,Specialization,4.7,4100,False,False,Beginner
244,Course,4.8,230000,False,False,Beginner
245,Course,4.8,39000,False,False,Beginner
246,Specialization,4.6,18000,False,False,Intermediate
247,Course,4.8,3100,False,False,Intermediate
248,Course,4.8,4500,False,False,Beginner
249,Course,,0,False,False,Advanced
250,Course,4.8,3300,False,False,Beginner
251,Specialization,4.7,2300,False,False,Intermediate
252,Course,4.6,5500,False,False,Beginner
253,Course,4.8,2600,False,False,Beginner
254,Course,4.8,236,False,False,Intermediate
255,Course,4.8,16000,False,False,Beginner
256,Course,4.7,25000,False,False,Beginner
257,Professional Certificate,4.8,4200,False,False,Beginner
258,Course,4.8,16000,False,False,Mixed
259,Course,4.6,261,False,False,Beginner
260,Specialization,4.6,1200,False,False,Beginner
261,Specialization,4.6,7500,False,False,Beginner
262,Professional Certificate,4.8,2300,False,False,Beginner
263,Course,4.7,2600,False,False,Beginner
264,Professional Certificate,4.7,37,False,False,Beginner
265,Course,4.7,5900,False,False,Mixed
266,Specialization,4.6,17000,False,False,Intermediate
267,Specialization,4.8,112,False,False,Beginner
268,Professional Certificate,4.7,3000,False,False,Beginner
269,Course,4.7,2400,False,False,Beginner
270,Specialization,4.7,3200,False,False,Beginner
271,Specialization,4.9,2200,False,False,Intermediate
272,Specialization,4.7,673,False,False,Beginner
273,Specialization,4.6,44000,False,False,Beginner
274,Specialization,4.8,2500,False,False,Intermediate
275,Professional Certificate,4.7,280,False,False,Beginner
276,Specialization,4.7,37000,False,False,Beginner
277,Specialization,4.6,590,False,False,Beginner
278,Specialization,4.7,3400,False,False,Intermediate
279,Specialization,4.8,1600,False,False,Intermediate
280,Course,4.8,566,False,False,Mixed
281,Course,4.9,9000,False,False,Beginner
282,Specialization,4.5,324,False,False,Beginner
283,Course,4.7,8200,False,False,Mixed
284,Specialization,4.5,51000,False,False,Beginner
285,Specialization,4.7,7800,False,False,Beginner
286,Specialization,4.7,30000,False,False,Beginner
287,Specialization,4.8,9500,False,False,Beginner
288,Specialization,4.9,721,False,False,Beginner
289,Course,4.8,4000,False,False,Beginner
290,Course,4.7,3600,False,False,Beginner
